"06/04/2017","5","7","19","29","34"
"06/03/2017","2","4","25","34","38"
"06/02/2017","1","4","24","32","33"
"06/01/2017","20","23","31","37","40"
"05/31/2017","1","20","31","36","37"
"05/30/2017","1","18","30","32","41"
"05/29/2017","4","8","24","26","33"
"05/28/2017","3","12","13","27","34"
"05/27/2017","3","6","16","24","28"
"05/26/2017","10","17","20","30","32"
"05/25/2017","8","10","27","28","29"
"05/24/2017","6","21","23","30","32"
"05/23/2017","1","22","29","33","36"
"05/22/2017","1","6","9","28","30"
"05/21/2017","9","12","14","19","31"
"05/20/2017","1","2","10","29","37"
"05/19/2017","2","7","19","20","27"
"05/18/2017","7","9","30","35","37"
"05/17/2017","14","23","25","29","30"
"05/16/2017","4","11","19","27","32"
"05/15/2017","11","15","23","26","35"
"05/14/2017","14","18","22","26","28"
"05/13/2017","4","17","18","23","40"
"05/12/2017","10","11","16","37","39"
"05/11/2017","2","12","15","27","29"
"05/10/2017","3","11","20","21","26"
"05/09/2017","11","17","29","31","38"
"05/08/2017","9","14","15","31","32"
"05/07/2017","14","25","29","35","40"
"05/06/2017","1","5","8","17","27"
"05/05/2017","6","14","16","18","20"
"05/04/2017","13","15","29","33","35"
"05/03/2017","10","18","26","38","41"
"05/02/2017","13","16","20","26","27"
"05/01/2017","4","12","27","32","33"
"04/30/2017","7","10","26","30","31"
"04/29/2017","5","7","17","37","38"
"04/28/2017","3","6","10","27","38"
"04/27/2017","5","15","23","33","36"
"04/26/2017","11","15","31","34","38"
"04/25/2017","8","9","11","15","25"
"04/24/2017","6","7","21","30","33"
"04/23/2017","4","17","21","34","35"
"04/22/2017","3","8","16","22","34"
"04/21/2017","5","23","28","31","39"
"04/20/2017","7","18","24","33","40"
"04/19/2017","5","24","30","38","41"
"04/18/2017","3","11","25","27","37"
"04/17/2017","19","26","34","36","40"
"04/16/2017","20","27","30","32","38"
"04/15/2017","1","16","17","26","30"
"04/14/2017","6","11","14","17","28"
"04/13/2017","11","18","27","33","38"
"04/12/2017","4","6","7","8","25"
"04/11/2017","7","28","30","35","39"
"04/10/2017","20","27","31","38","41"
"04/09/2017","18","27","35","37","38"
"04/08/2017","17","30","32","38","39"
"04/07/2017","11","12","24","33","36"
"04/06/2017","1","3","8","25","34"
"04/05/2017","2","3","7","15","35"
"04/04/2017","8","18","19","27","32"
"04/03/2017","1","3","11","15","26"
